行政區,段小段,地號,標示部面積,所有權登記次序,所有權持分類別,所有權持分分母,所有權持分分子,公告地價,申報地價,核定申報地價情形
中正區,福和段二小段,02230000,5141.0,0015,,420,5,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0016,,8400,65,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0016,,8400,65,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0020,,54,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0021,,54,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0021,,54,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02250000,1941.0,0005,,18,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0014,,420,5,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0014,,8400,65,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0014,,8400,65,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0013,,420,5,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0013,,8400,65,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0013,,8400,65,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800000,10224.0,0032,,563496,1049,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800006,194.0,0032,,563496,1049,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800005,8166.0,0032,,563496,1049,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800010,97.0,0032,,563496,1049,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800007,2589.0,0032,,563496,1049,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800004,1135.0,0032,,563496,1049,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800009,19881.0,0032,,563496,1049,"59,906","71,887",按公告地價120%申報
中正區,福和段二小段,01800008,1841.0,0032,,563496,1049,"72,859","87,430",按公告地價120%申報
中正區,福和段二小段,01800003,1197.0,0032,,563496,1049,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0030,,252,2,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0033,,252,2,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0033,,252,2,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0041,,500000,4192,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0028,,126,2,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0031,,126,2,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0060,,189,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02250000,1941.0,0009,,180,4,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800000,10224.0,0068,,2535732,4152,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800007,2589.0,0068,,2535732,4152,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800006,194.0,0068,,2535732,4152,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800005,8166.0,0068,,2535732,4152,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800010,97.0,0068,,2535732,4152,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800003,1197.0,0068,,2535732,4152,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800009,19881.0,0068,,2535732,4152,"59,906","71,887",按公告地價120%申報
中正區,福和段二小段,01800008,1841.0,0068,,2535732,4152,"72,859","87,430",按公告地價120%申報
中正區,福和段二小段,01800004,1135.0,0067,,2535732,4152,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0036,,540,7,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0039,,360,5,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0039,,360,5,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0064,,540,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0037,,90,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0040,,90,1,"59,900","71,880",按公告地價120%申報
