鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
信義區,房地(土地+建物),臺北市信義區崇德街31巷11弄1~30號,44.87,住,,,1081215,土地2建物1車位0,一層，夾層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760514,190.06,3,2,2,有,有,40000000,210460,,0.0,0,含增建或未登記建物。;,RPWOMLMKKHPFFDA28CA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路235巷1~30號,57.08,住,,,1081215,土地1建物1車位2,八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1031204,344.32,3,2,3,有,有,75100000,218111,坡道平面,55.14,0,,RPPPMLMKKHPFFDA67CA
松山區,土地,寶清段四小段571~600地號,0.07,商,,,1090117,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50000,0,,0.0,0,畸零地或有合併使用之交易。;,RPVPMLMKKHPFFDA28CA
松山區,房地(土地+建物),臺北市松山區八德路四段72巷16弄1~30號,32.0,住,,,1081227,土地1建物1車位0,三層，露台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,94.16,3,2,2,有,無,16000000,169924,,0.0,0,,RPXNMLOKKHPFFDA48CA
信義區,土地,永春段二小段181~210地號,10.72,其他,,,1081210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,613363,57217,,0.0,0,包含公共設施保留地之交易。;,RPQNMLQKKHPFFDA97CA
松山區,房地(土地+建物)+車位,臺北市松山區八德路三段151~180號,8.15,商,,,1090114,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070331,124.46000000000001,2,1,1,有,有,35860000,367435,坡道平面,36.39,3500000,,RPVNMLRKKHPFFDA58CA
信義區,土地,和段二小段,9.13,住,,,1090122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1324800,145104,,0.0,0,包括一切定著物、地上物、地下物、工作物、出產物、天然攀息及木石天然資源等全部在內，其買賣對價及補償已包括於本約定之買賣總價款之內。,RPUNMLTKKHPFFDA68CA
松山區,房地(土地+建物),臺北市松山區寶清街103巷1~30號,34.02,住,,,1090103,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060821,122.35,0,0,0,無,有,28000000,228852,,0.0,0,,RPXPMLQJLHPFFDA88CA
信義區,車位,臺北市信義區中坡北路1~30號,4.6,住,,,1090130,土地0建物0車位1,地下層,七層,其他,見使用執照,鋼筋混凝土造,0721220,56.67,0,0,0,有,無,2600000,,坡道平面,56.67,2600000,,RPRSMLQKLHPFFDA68CA
松山區,房地(土地+建物),臺北市松山區富錦街421~450號,4.94,住,,,1081225,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670322,33.47,3,2,2,有,無,1388503,41485,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXOMLRKLHPFFDA98CA
北投區,房地(土地+建物),臺北市北投區中央北路四段456巷5弄1~30號,41.45,住,,,1081227,土地3建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700402,99.59,3,1,1,有,無,9800000,98403,,0.0,0,,RPWNMLLKKHPFFEA18CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,17.37,住,,,1090112,土地2建物1車位1,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,197.64999999999998,3,2,2,有,有,50200000,253984,坡道平面,38.1,0,,RPVPMLLKKHPFFEA28CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路七段81巷1~30號,54.32,住,,,1081122,土地1建物1車位4,十三層，十四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811124,466.87,5,3,3,有,有,87180000,186733,坡道平面,0.0,0,,RPTNMLMKKHPFFEA97CA
士林區,房地(土地+建物),臺北市士林區忠誠路二段130巷1~30號,21.6,住,,,1090122,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0670410,96.2,1,2,2,有,無,23000000,239085,,0.0,0,,RPVNMLMKKHPFFEA18CA
士林區,房地(土地+建物)+車位,臺北市士林區士東路286巷1~30號,51.63,住,,,1081225,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0910131,187.66000000000003,4,2,2,有,有,33000000,175850,坡道平面,38.39,0,含增建或未登記建物。;,RPXNMLMKKHPFFEA38CA
士林區,房地(土地+建物),臺北市士林區葫蘆街61~90號,22.99,住,,,1081129,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671016,77.39,3,2,1,有,無,7500000,96912,,0.0,0,含增建或未登記建物。;,RPPOMLMKKHPFFEA67CA
士林區,房地(土地+建物),臺北市士林區克強路10巷19弄1~30號,35.9,住,,,1081230,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700108,133.09,4,2,2,有,無,17080000,128334,,0.0,0,含增建或未登記建物。;,RPQOMLMKKHPFFEA77CA
北投區,房地(土地+建物)+車位,臺北市北投區裕民二路61~90號,10.42,商,,,1090105,土地1建物1車位1,二層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021108,158.79000000000002,2,2,2,有,有,29000000,182631,坡道平面,45.98,0,,RPROMLMKKHPFFEA87CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷91~120號,42.32,住,,,1081227,土地1建物1車位2,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050804,273.82,3,2,3,有,有,41880000,184621,坡道平面,64.31,3200000,,RPSOMLMKKHPFFEA97CA
北投區,土地,溫泉段四小段481~510地號,134.0,住,,,1080709,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33000016,246269,,0.0,0,,RPUOMLMKKHPFFEA18CA
士林區,房地(土地+建物)+車位,臺北市士林區中正路391~420號,204.28,商,,,1081231,土地2建物1車位8,七層,十四層,辦公商業大樓,商業用,鋼筋混凝土造,0890211,1390.6100000000001,0,0,0,無,有,302500000,217530,坡道平面,0.0,0,向政府機關承購之案件。;,RPWOMLMKKHPFFEA38CA
北投區,房地(土地+建物)+車位,臺北市北投區承德路七段361~390號,23.87,住,,,1081222,土地1建物1車位1,十五層，電梯樓梯間,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841221,180.78,3,2,2,有,有,25000000,138290,坡道平面,0.0,0,含增建或未登記建物。;,RPOPMLMKKHPFFEA67CA
士林區,房地(土地+建物)+車位,臺北市士林區天母北路1~30號,32.69,住,,,1081213,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820719,203.08,3,2,2,有,有,31200000,153634,坡道平面,36.46,0,含增建或未登記建物。;,RPPPMLMKKHPFFEA77CA
北投區,房地(土地+建物)+車位,臺北市北投區溫泉路58巷1~30號,93.46,住,,,1090105,土地1建物1車位2,一層，二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0931230,302.39,4,2,3,有,有,38000000,125666,塔式車位,0.0,0,含增建或未登記建物。;,RPQPMLMKKHPFFEA87CA
